line_no,line_name,,,,,,
2,Macdonald/Burrard Station,,,,,,
3,Main/Waterfront Station,,,,,,
4,Powell/Downtown/UBC,,,,,,
5,Robson/Downtown,,,,,,
6,Davie/Downtown,,,,,,
7,Nanaimo Station/Dunbar,,,,,,
8,Fraser/Waterfront Station,,,,,,
9,Boundary/Commercial-Broadway/Granville/Alma/UBC,,,,,,
10,Granville/Waterfront Station,,,,,,
14,Hastings/UBC,,,,,,
15,Cambie/Olympic Village Station,,,,,,
16,29th Avenue Station/Arbutus,,,,,,
17,Downtown/Oak,,,,,,
19,Metrotown Station/Stanley Park,,,,,,
20,Victoria/Downtown,,,,,,
22,Knight/Downtown,,,,,,
23,Main St Station/English Bay,,,,,,
25,Brentwood Station/UBC,,,,,,
26,Joyce Station/29th Avenue Station,,,,,,
27,Kootenay Loop/Joyce Station,,,,,,
28,Phibbs Exchange/Joyce Station,,,,,,
29,Elliott/29th Avenue Station,,,,,,
31,Metrotown Station/River District,,,,,,
33,29th Avenue Station/UBC,,,,,,
41,Joyce Station/Crown,,,,,,
44,UBC/Downtown,,,,,,
49,Metrotown Station/Dunbar Loop/UBC,,,,,,
50,Waterfront Station/False Creek South,,,,,,
68,UBC Exchange/Wesbrook Village,,,,,,
80,Marine Dr Station/River District,,,,,,
84,UBC/VCC-Clark Station,,,,,,
99,Commercial-Broadway/UBC (B-Line),,,,,,
100,22nd St Station/Marpole Loop,,,,,,
101,Lougheed Station/22nd St Station,,,,,,
102,New Westminster Station/Victoria  Hill,,,,,,
103,New Westminster Station/Quayside,,,,,,
104,22nd St Station/Annacis Island,,,,,,
105,Uptown/New Westminster Station,,,,,,
106,New Westminster Station/Edmonds Station,,,,,,
109,New Westminster Station/Lougheed Station,,,,,,
110,Lougheed Station/Metrotown Station,,,,,,
112,Edmonds Station/New West Station,,,,,,
116,Edmonds Station/Metrotown Station,,,,,,
119,Edmonds Station/Metrotown Station,,,,,,
123,New West Station/Brentwood Station,,,,,,
128,Braid Station/22nd Street Station,,,,,,
129,Patterson Station/Holdom Station,,,,,,
130,Metrotown/Pender/Kootenay,,,,,,
131,Hastings @ Gilmore/Kootenay Loop,,,,,,
132,Capitol Hill/Hastings @ Gilmore,,,,,,
133,Holdom Station/Edmonds Station,,,,,,
134,Lake City Station/Brentwood Station,,,,,,
136,Lougheed Station/Brentwood Station,,,,,,
143,Burquitlam Station/SFU,,,,,,
144,SFU/Metrotown Station,,,,,,
145,SFU/Production Station,,,,,,
146,Metrotown Station/Suncrest,,,,,,
147,Metrotown Station/Edmonds Station,,,,,,
148,Royal Oak Station/Edmonds Station,,,,,,
151,Coquitlam Central Station/Burquitlam Station,,,,,,
152,Coquitlam Central Station/Lougheed Station,,,,,,
153,Coquitlam Central Station/Braid Station,,,,,,
155,Braid Station/22nd Street  Station,,,,,,
156,Braid Station/Lougheed Station,,,,,,
157,Burquitlam Station/Lougheed Station,,,,,,
159,Coquitlam Central Station/Braid Station,,,,,,
160,Port Coquitlam Station/Kootenay Loop,,,,,,
169,Coquitlam Central Station/Braid Station,,,,,,
170,Port Coquitlam Station/Port Coquitlam South,,,,,,
171,Coquitlam Central Station/Fremont,,,,,,
172,Coquitlam Central Station/Riverside,,,,,,
173,Coquitlam Central Station/Cedar,,,,,,
174,Coquitlam Central Station/Rocklin,,,,,,
175,Coquitlam Central Station/Meridian,,,,,,
180,Moody Centre Station/Lougheed Station,,,,,,
181,Moody Centre Station/Ioco,,,,,,
182,Moody Centre Station/Belcarra,,,,,,
183,Moody Centre Station/Coquitlam Central Station,,,,,,
184,Moody Centre Station/Noons Creek,,,,,,
185,Coquitlam Central Station/Lansdowne,,,,,,
186,Coquitlam Central Station/Hampton Park,,,,,,
187,Coquitlam Central Station/Parkway Blvd,,,,,,
188,Coquitlam Central Station/Port Coquitlam Station,,,,,,
189,Coquitlam Central Station/Lafarge Park,,,,,,
191,Coquitlam Central Station/Princeton,,,,,,
209,Upper Lynn Valley/Burrard Station,,,,,,
210,Upper Lynn Valley/Burrard Station,,,,,,
211,Seymour/Phibbs Exchange/Burrard Station,,,,,,
212,Deep Cove/Phibbs Exchange,,,,,,
214,Blueridge/Phibbs Exchange/Burrard Station,,,,,,
215,Indian River/Phibbs Exchange,,,,,,
222,Metrotown Station/Phibbs Exchange,,,,,,
227,Lynn Valley/Phibbs Exchange,,,,,,
228,Lynn Valley/Lonsdale Quay,,,,,,
229,Lynn Valley/Lonsdale Quay,,,,,,
230,Upper Lonsdale/Lonsdale Quay,,,,,,
231,Harbourside/Lonsdale Quay,,,,,,
232,Grouse Mountain/Phibbs Exchange,,,,,,
236,Grouse Mountain/Lonsdale Quay,,,,,,
240,Lynn Valley/Downtown,,,,,,
241,Upper Lonsdale/Downtown,,,,,,
245,Phibbs/Capilano,,,,,,
246,Highland/Downtown,,,,,,
247,Grouse Mountain/Downtown,,,,,,
249,Lonsdale Quay/Delbrook,,,,,,
250,Horseshoe Bay/Dundarave/Vancouver,,,,,,
251,Queens/Park Royal,,,,,,
252,Inglewood/Park Royal,,,,,,
253,Caulfeild/Vancouver/Park Royal,,,,,,
254,British Properties/Park Royal/Van,,,,,,
255,Dundarave/Capilano University,,,,,,
256,Whitby Estate/Park Royal/Spuraway,,,,,,
257,Horseshoe Bay/Vancouver Express,,,,,,
262,Lions Bay/Caulfeild,,,,,,
280,Bluewater/Snug Cove,,,,,,
281,Eagle Cliff/Snug Cove,,,,,,
282,Mt Gardner/Snug Cove,,,,,,
301,Newton Exchange/Brighouse Station,,,,,,
310,Scottsdale/Ladner,,,,,,
311,Scottsdale/Bridgeport Station,,,,,,
